ID,glAccountNumber,userDefined1,userDefined2,journalEntryType,journalId,period,amount,amountCreditDebitIndicator,jeLineDescription,reportingAmountCurrency,transactionId,enteredBy,enteredDateTime,tags
1,000-1100-00,Cash - Operating Account,common:CurrentAssets,BBF,1,12/31/2023,338562.25,D,BEGINNING BALANCE,Z-US$,1,LESSON USER1,1/1/1990,common:OpeningBalance
2,000-1110-00,Cash - Payroll,common:CurrentAssets,BBF,1,12/31/2023,925.44,D,BEGINNING BALANCE,Z-US$,2,LESSON USER1,1/1/1990,common:OpeningBalance
3,000-1120-00,Cash - Flex Benefits Program,common:CurrentAssets,BBF,1,12/31/2023,345.32,D,BEGINNING BALANCE,Z-US$,3,LESSON USER1,1/1/1990,common:OpeningBalance
4,000-1130-00,Petty Cash,common:CurrentAssets,BBF,1,12/31/2023,175,D,BEGINNING BALANCE,Z-US$,4,LESSON USER1,1/1/1990,common:OpeningBalance
5,000-1140-00,Savings,common:CurrentAssets,BBF,1,12/31/2023,15656.96,D,BEGINNING BALANCE,Z-US$,5,LESSON USER1,1/1/1990,common:OpeningBalance
6,000-1200-00,Accounts Receivable,common:CurrentAssets,BBF,1,12/31/2023,1202937.06,D,BEGINNING BALANCE,Z-US$,6,LESSON USER1,1/1/1990,common:OpeningBalance
7,000-1210-00,Allowance for Doubtful Accounts,common:CurrentAssets,BBF,1,12/31/2023,-27371.4,C,BEGINNING BALANCE,Z-US$,7,LESSON USER1,1/1/1990,common:OpeningBalance
8,000-1260-00,Employee Advances,common:CurrentAssets,BBF,1,12/31/2023,250,D,BEGINNING BALANCE,Z-US$,8,LESSON USER1,1/1/1990,common:OpeningBalance
9,000-1300-01,Inventory - Retail/Parts,common:CurrentAssets,BBF,1,12/31/2023,217439.74,D,BEGINNING BALANCE,Z-US$,9,LESSON USER1,1/1/1990,common:OpeningBalance
10,000-1300-02,Inventory - Finished Goods,common:CurrentAssets,BBF,1,12/31/2023,57389.35,D,BEGINNING BALANCE,Z-US$,10,LESSON USER1,1/1/1990,common:OpeningBalance
11,000-1310-01,Inventory Warehouse - Retail/Parts,common:CurrentAssets,BBF,1,12/31/2023,112832.11,D,BEGINNING BALANCE,Z-US$,11,LESSON USER1,1/1/1990,common:OpeningBalance
12,000-1400-00,Prepaid Expenses,common:CurrentAssets,BBF,1,12/31/2023,45000,D,BEGINNING BALANCE,Z-US$,12,LESSON USER1,1/1/1990,common:OpeningBalance
13,000-1410-00,Prepaid Insurance,common:CurrentAssets,BBF,1,12/31/2023,34349,D,BEGINNING BALANCE,Z-US$,13,LESSON USER1,1/1/1990,common:OpeningBalance
14,000-1500-00,Furniture & Fixtures,common:NoncurrentAssets,BBF,1,12/31/2023,543695.97,D,BEGINNING BALANCE,Z-US$,14,LESSON USER1,1/1/1990,common:OpeningBalance
15,000-1505-00,Accumulated Depreciation-Furniture & Fixtures,common:NoncurrentAssets,BBF,1,12/31/2023,-201014.61,C,BEGINNING BALANCE,Z-US$,15,LESSON USER1,1/1/1990,common:OpeningBalance
16,000-1510-00,Computer Equipment,common:NoncurrentAssets,BBF,1,12/31/2023,125895.23,D,BEGINNING BALANCE,Z-US$,16,LESSON USER1,1/1/1990,common:OpeningBalance
