StructureType,StructureIdentifier,AssociationFromName,AssociationRole,AssociationToName,CalculationPolarity,PreferredLabelRole,Sequence
Definition,BalanceSheet,common:HypercubeLineItems,LineItems-Hypercube,common:BalanceSheetHypercube,,,1
Presentation,ChangesInEquity,common:ChangesInEquityHypercube,Parent-Child,common:HypercubeLineItems,,,51
Presentation,CashFlow,common:CashFlowHypercube,Parent-Child,common:HypercubeLineItems,,,1
Presentation,IncomeStatement,common:IncomeStatementHypercube,Parent-Child,common:HypercubeLineItems,,,11
Presentation,BalanceSheet,common:BalanceSheetHypercube,Parent-Child,common:HypercubeLineItems,,,1
Presentation,ComprehensiveIncomeStatement,common:ComprehensiveIncomeStatementHypercube,Parent-Child,common:HypercubeLineItems,,,11
Presentation,BalanceSheet,common:HypercubeLineItems,Parent-Child,common:AssetsRollUp,,,1
Calculation,BalanceSheet,common:Assets,Total-Item,common:CurrentAssets,Add,,1
Presentation,BalanceSheet,common:AssetsRollUp,Parent-Child,common:CurrentAssets,,,3
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:CurrentAssets,,,2
Calculation,BalanceSheet,common:Assets,Total-Item,common:NoncurrentAssets,Add,,2
Presentation,BalanceSheet,common:AssetsRollUp,Parent-Child,common:NoncurrentAssets,,,4
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:NoncurrentAssets,,,3
Presentation,BalanceSheet,common:AssetsRollUp,Parent-Child,common:Assets,,,5
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:Assets,,,4
Definition,CashFlow,common:HypercubeLineItems,Member-Member,common:Assets,,,1
Presentation,BalanceSheet,common:HypercubeLineItems,Parent-Child,common:LiabilitiesAndEquityRollUp,,,2
Presentation,BalanceSheet,common:LiabilitiesAndEquityRollUp,Parent-Child,common:LiabilitiesRollUp,,,7
Calculation,BalanceSheet,common:Liabilities,Total-Item,common:CurrentLiabilities,Add,,3
Presentation,BalanceSheet,common:LiabilitiesRollUp,Parent-Child,common:CurrentLiabilities,,,8
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:CurrentLiabilities,,,5
Presentation,BalanceSheet,common:LiabilitiesRollUp,Parent-Child,common:NoncurrentLiabilities,,,9
Calculation,BalanceSheet,common:Liabilities,Total-Item,common:NoncurrentLiabilities,Add,,4
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:NoncurrentLiabilities,,,6
Presentation,BalanceSheet,common:LiabilitiesRollUp,Parent-Child,common:Liabilities,,,10
Calculation,BalanceSheet,common:LiabilitiesAndEquity,Total-Item,common:Liabilities,Add,,5
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:Liabilities,,,7
Presentation,BalanceSheet,common:LiabilitiesAndEquityRollUp,Parent-Child,common:EquityRollUp,,,11
Presentation,BalanceSheet,common:EquityRollUp,Parent-Child,common:EquityAttributableToControllingInterests,,,12
Calculation,BalanceSheet,common:Equity,Total-Item,common:EquityAttributableToControllingInterests,Add,,6
Definition,BalanceSheet,common:HypercubeLineItems,Member-Member,common:EquityAttributableToControllingInterests,,,8
