Prefix,ReportElementCategory,StandardLabel,ReportElementName,Datatype,CalendarPeriodType,BalanceType,Domain,HeadUsable,ExtendedLinkRole
common,Hypercube,Balance Sheet [Hypercube],BalanceSheetHypercube,,,,,,
common,LineItems,Hypercube [Line Items],HypercubeLineItems,,,,,,
common,Abstract,Assets [Roll Up],AssetsRollUp,,,,,,
common,Concept,Current Assets,CurrentAssets,Monetary,Instant,Debit,,,
common,Concept,Noncurrent Assets,NoncurrentAssets,Monetary,Instant,Debit,,,
common,Concept,Assets,Assets,Monetary,Instant,Debit,,,
common,Abstract,Liabilities and Equity [Roll Up],LiabilitiesAndEquityRollUp,,,,,,
common,Abstract,Liabilities [Roll Up],LiabilitiesRollUp,,,,,,
common,Concept,Current Liabilities,CurrentLiabilities,Monetary,Instant,Credit,,,
common,Concept,Noncurrent Liabilities,NoncurrentLiabilities,Monetary,Instant,Credit,,,
common,Concept,Liabilities,Liabilities,Monetary,Instant,Credit,,,
common,Abstract,Equity [Roll Up],EquityRollUp,,,,,,
common,Concept,Equity Attributable To Controlling Interests,EquityAttributableToControllingInterests,Monetary,Instant,Credit,,,
common,Concept,Equity Attributable to Noncontrolling Interests,EquityAttributableToNoncontrollingInterests,Monetary,Instant,Credit,,,
common,Concept,Equity,Equity,Monetary,Instant,Credit,,,
common,Concept,Liabilities and Equity,LiabilitiesAndEquity,Monetary,Instant,Credit,,,
common,Hypercube,Income Statement [Hypercube],IncomeStatementHypercube,,,,,,
common,Abstract,Net Income [Roll Up],NetIncomeRollUp,,,,,,
common,Concept,Revenues,Revenues,Monetary,Duration,Credit,,,
common,Concept,Expenses,Expenses,Monetary,Duration,Debit,,,
common,Concept,Gains,Gains,Monetary,Duration,Credit,,,
common,Concept,Losses,Losses,Monetary,Duration,Debit,,,
common,Concept,Net Income,NetIncome,Monetary,Duration,Credit,,,
common,Hypercube,Comprehensive Income Statement [Hypercube],ComprehensiveIncomeStatementHypercube,,,,,,
common,Abstract,Comprehensive Income [Roll Up],ComprehensiveIncomeRollUp,,,,,,
common,Concept,Other Comprehensive Income,OtherComprehensiveIncome,Monetary,Duration,Credit,,,
common,Concept,Comprehensive Income,ComprehensiveIncome,Monetary,Duration,Credit,,,
common,Hypercube,Cash Flow [Hypercube],CashFlowHypercube,,,,,,
common,Abstract,Net Cash Flow [Roll Up],NetCashFlowRollUp,,,,,,
common,Concept,Net Cash Flow Operating Activities,NetCashFlowOperatingActivities,Monetary,Duration,Debit,,,
common,Concept,Net Cash Flow Investing Activities,NetCashFlowInvestingActivities,Monetary,Duration,Debit,,,
common,Concept,Net Cash Flow Financing Activities,NetCashFlowFinancingActivities,Monetary,Duration,Debit,,,
common,Concept,Net Cash Flow,NetCashFlow,Monetary,Duration,Debit,,,
common,Abstract,Assets [Roll Forward],AssetsRollForward,,,,,,
common,Hypercube,Changes in Equity [Hypercube],ChangesInEquityHypercube,,,,,,
common,Abstract,Changes in Equity [Roll Forward],ChangesInEquityRollForward,,,,,,
common,Concept,Investments by Owners,InvestmentsByOwners,Monetary,Duration,Credit,,,
common,Concept,Distributions to Owners,DistributionsToOwners,Monetary,Duration,Debit,,,
