SortOrder,FinancialStatementLineItem,EventCode,Balance,CoreEvent,Involves,Comment,RightOrObligation,EventType,Counterparty,AuditRisk,Key
13,mini:Receivables,mini:AdditionsToAllowanceForBadDebts,cm:Credit,dca:Transfer,dca:Money,Ties to supporting spreadsheet.,dca:Both,dca:Commitment,dca:Customer,cm:High,16
14,mini:Receivables,mini:BadDebtsWrittenOff,cm:Credit,dca:Transfer,dca:Money,Ties to supporting spreadsheet.,dca:Both,dca:Commitment,dca:Customer,cm:High,17
91,mini:Sales,mini:NetIncomeLoss,cm:Credit,dca:Shipment,dca:Goods,Ties to sales journal.,dca:Both,dca:Commitment,dca:Customer,cm:Medium,35
12,mini:Receivables,mini:CollectionOfReceivables,cm:Credit,dca:Remittance,dca:Money,Ties to cash receipts journal.,dca:Right,dca:Fulfillment,dca:Customer,cm:Medium,15
4,mini:CashAndCashEquivalents,mini:PaymentForReductionOfLongtermBorrowings,cm:Credit,dca:Payment,dca:Money,Ties to bank statement.,dca:Obligation,dca:Fulfillment,dca:Lendor,cm:Medium,12
71,mini:PaidInCapital,mini:InvestmentsByOwner,cm:Credit,dca:Remittance,dca:Money,Ties to ledger of paid in capital,dca:Obligation,dca:Fulfillment,dca:Owner,cm:Medium,40
23,mini:Inventories,mini:InventoryWrittenOff,cm:Credit,dca:Transfer,dca:Goods,Ties to supporting spreadsheet.,dca:Both,dca:Fulfillment,dca:Self,cm:High,20
33,mini:PropertyPlantAndEquipment,mini:PropertyPlantAndEquipmentWrittenOff,cm:Credit,dca:Transfer,dca:Money,Ties to supporting spreadsheet.,dca:Both,dca:Fulfillment,dca:Self,cm:High,23
32,mini:PropertyPlantAndEquipment,mini:DecreaseFromDepreciationAndAmortization,cm:Credit,dca:Consumption,dca:Money,Ties to fixed assets ledger.,dca:Both,dca:Fulfillment,dca:Self,cm:Medium,22
81,mini:RetainedEarnings,mini:NetIncomeLoss,cm:Credit,dca:Transfer,dca:Money,Ties to income statement,dca:Both,dca:Fulfillment,dca:Self,cm:Medium,28
22,mini:Inventories,mini:DecreaseInInventoriesFromSales,cm:Credit,dca:Shipment,dca:Goods,Ties to sales ledger.,dca:Obligation,dca:Fulfillment,dca:Supplier,cm:Medium,19
2,mini:CashAndCashEquivalents,mini:PaymentOfAccountsPayable,cm:Credit,dca:Payment,dca:Money,Ties to check register.,dca:Obligation,dca:Fulfillment,dca:Supplier,cm:Medium,10
41,mini:AccountsPayable,mini:PurchasesInventoryForSaleOnAccount,cm:Credit,dca:Bill,dca:Goods,Ties to purchase order system.,dca:Right,dca:Fulfillment,dca:Supplier,cm:Low,24
43,mini:AccruedInterest,mini:InterestAccrued,cm:Credit,dca:Bill,dca:Money,Ties to account working papers.,dca:Obligation,dca:Commitment,dca:Vendor,cm:Medium,42
97,mini:NonoperatingIncomeExpenses,mini:NetIncomeLoss,cm:Credit,dca:Bill,dca:Money,Ties to check register.,dca:Both,dca:Fulfillment,dca:Vendor,cm:Medium,38
96,mini:GainLossOnSalePropertyPlantEquipment,mini:NetIncomeLoss,cm:Credit,dca:Transfer,dca:Money,Ties to fixed assets ledger.,dca:Both,dca:Fulfillment,dca:Vendor,cm:Medium,45
5,mini:CashAndCashEquivalents,mini:PaymentForCapitalAdditionsOfPropertyPlantEquipment,cm:Credit,dca:Payment,dca:Money,Ties to fixed assets ledger.,dca:Obligation,dca:Fulfillment,dca:Vendor,cm:Medium,13
51,mini:LongtermDebt,mini:AdditionalLongtermBorrowings,cm:Credit,dca:Remittance,dca:Money,Ties to bank statement.,dca:Obligation,dca:Fulfillment,dca:Vendor,cm:Medium,26
