JournalEntryID,EconomicEntityIdentifier,TransactionPeriod,Account,GeneralLedgerAccountCode,TransactionDescriptionCode,Amount,Units,Rounding,Balance,EffectiveValue,Sequence,TransactionDescription,DocumentID,Flag,Key
JE-201,30810137d58f76b84afd,2024-01-01,000-1100-00,mini:CashAndCashEquivalents,mini:ProceedsFromInvestmentsByOwner,10000,iso4217:USD,2,D,10000,1,Investment by owner to open a lemonade stand.,,FALSE,176
JE-201,30810137d58f76b84afd,2024-01-01,000-3100-00,mini:PaidInCapital,mini:InvestmentsByOwner,10000,iso4217:USD,2,C,-10000,2,Investment by owner to open a lemonade stand.,,FALSE,177
JE-202,30810137d58f76b84afd,2024-01-02,000-1100-00,mini:CashAndCashEquivalents,mini:ProceedsFromAdditionalLongtermBorrowings,2000,iso4217:USD,2,D,2000,1,Long term borrowing to purchase refrigerator.,,FALSE,178
JE-202,30810137d58f76b84afd,2024-01-02,000-2300-00,mini:LongtermDebt,mini:AdditionalLongtermBorrowings,2000,iso4217:USD,2,C,-2000,2,Long term borrowing to purchase refrigerator.,,FALSE,179
JE-203,30810137d58f76b84afd,2024-01-05,000-1500-00,mini:PropertyPlantAndEquipment,mini:CapitalAdditionsPropertyPlantAndEquipment,1000,iso4217:USD,2,D,1000,1,Purchase of refrigerator  using cash from additional borrowings.,,FALSE,180
JE-203,30810137d58f76b84afd,2024-01-05,000-1100-00,mini:CashAndCashEquivalents,mini:PaymentForCapitalAdditionsOfPropertyPlantEquipment,1000,iso4217:USD,2,C,-1000,2,Purchase of refrigerator using cash from additional borrowings.,,FALSE,181
JE-204,30810137d58f76b84afd,2024-01-10,000-1300-00,mini:Inventories,mini:PurchasesOfInventoryForSale,5000,iso4217:USD,2,D,5000,1,Purchase of lemons to put intoinventory on account.,,FALSE,182
JE-204,30810137d58f76b84afd,2024-01-10,000-2150-00,mini:AccountsPayable,mini:PurchasesInventoryForSaleOnAccount,5000,iso4217:USD,2,C,-5000,2,Purchase of lemons to put intoinventory on account.,,FALSE,183
JE-205,30810137d58f76b84afd,2024-01-15,000-5100-00,mini:CostsOfSales,mini:NetIncomeLoss,3000,iso4217:USD,2,D,3000,1,Payment for  contractor to work the lemonade stand.,,FALSE,184
JE-205,30810137d58f76b84afd,2024-01-15,000-2150-00,mini:AccountsPayable,mini:PurchasesInventoryForSaleOnAccount,3000,iso4217:USD,2,C,-3000,2,Payment for  contractor to work the lemonade stand.,,FALSE,185
JE-206,30810137d58f76b84afd,2024-01-16,000-1200-00,mini:Receivables,mini:IncreaseInReceivablesFromSalesOnAccount,8000,iso4217:USD,2,D,8000,1,Sales on account.,,FALSE,186
JE-206,30810137d58f76b84afd,2024-01-16,000-4100-00,mini:Sales,mini:NetIncomeLoss,8000,iso4217:USD,2,C,-8000,2,Sales on account.,,FALSE,187
